Rk,Player,FantPt,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,#Yrs,PB,FantPt,PPR,FantPt,PPR/G,Pos,Team,ref_id
1,Aaron Rodgers,4181.2,GNB,1,24,2005,California,2010,2024,27-41,209,209,20,9,4181.2,4184.2,20.01,20.02,QB,GNBNYJ,RodgAa00
2,Tom Brady,3961.7,NWE,6,199,2000,Michigan,2010,2022,33-45,206,206,23,10,3961.7,3963.7,19.23,19.24,QB,NWETAM,BradTo00
3,Russell Wilson,3713.8,SEA,3,75,2012,Wisconsin,2012,2024,24-36,199,199,13,9,3713.8,3718.8,18.66,18.69,QB,DENPITSEA,WilsRu00
4,Matthew Stafford,3578.3,DET,1,1,2009,Georgia,2010,2024,22-36,212,212,16,2,3578.3,3580.3,16.88,16.89,QB,DETLAR,StafMa00
5,Matt Ryan,3452.6,ATL,1,3,2008,Boston College,2010,2022,25-37,204,204,15,4,3452.6,3453.6,16.92,16.93,QB,ATLIND,RyanMa00
6,Drew Brees,3306.5,SDG,2,32,2001,Purdue,2010,2020,31-41,165,165,20,9,3306.5,3309.5,20.04,20.06,QB,NOR,BreeDr00
7,Philip Rivers,2871.7,NYG,1,4,2004,NC State,2010,2020,29-39,176,176,17,6,2871.7,2871.7,16.32,16.32,QB,INDLACSDG,RivePh00
8,Cam Newton,2827.1,CAR,1,1,2011,Auburn,2011,2021,22-32,148,144,11,3,2827.1,2830.1,19.1,19.12,QB,CARNWE,NewtCa00
9,Ben Roethlisberger,2794.4,PIT,1,11,2004,Miami (OH),2010,2021,28-39,162,161,18,5,2794.4,2795.4,17.25,17.26,QB,PIT,RoetBe00
10,Kirk Cousins,2776.7,WAS,4,102,2012,Michigan State,2012,2024,24-36,164,159,13,4,2776.7,2777.7,16.93,16.94,QB,ATLMINWAS,CousKi00
11,Andy Dalton,2540.1,CIN,2,35,2011,TCU,2011,2024,24-37,175,168,14,3,2540.1,2543.1,14.51,14.53,QB,CARCHICINDALNOR,DaltAn00
12,Derek Carr,2538.6,OAK,2,36,2014,Fresno State,2014,2024,23-33,169,169,11,4,2538.6,2539.6,15.02,15.03,QB,LVRNOROAK,CarrDe02
13,Josh Allen,2461.5,BUF,1,7,2018,Wyoming,2018,2024,22-28,111,110,7,4,2461.5,2462.5,22.18,22.18,QB,BUF,AlleJo02
14,Patrick Mahomes,2429.2,KAN,1,10,2017,Texas Tech,2017,2024,22-29,112,112,8,6,2429.2,2431.2,21.69,21.71,QB,KAN,MahoPa00
15,Ryan Tannehill,2366.4,MIA,1,8,2012,Texas A&M,2012,2023,24-35,155,151,11,1,2366.4,2370.4,15.27,15.29,QB,MIATEN,TannRy00
16,Dak Prescott,2284.4,DAL,4,135,2016,Mississippi State,2016,2024,23-31,122,122,9,4,2284.4,2285.4,18.72,18.73,QB,DAL,PresDa01
17,Jared Goff,2202.7,LAR,1,1,2016,California,2016,2024,22-30,134,134,9,4,2202.7,2204.7,16.44,16.45,QB,DETLAR,GoffJa00
18,Eli Manning,2175.9,SDG,1,1,2004,Ole Miss,2010,2019,29-38,147,147,16,3,2175.9,2175.9,14.8,14.8,QB,NYG,MannEl00
19,Lamar Jackson,2143.7,BAL,1,32,2018,Louisville,2018,2024,21-27,103,94,7,4,2143.7,2143.7,20.81,20.81,QB,BAL,JackLa00
20,Derrick Henry,1975,TEN,2,45,2016,Alabama,2016,2024,22-30,136,105,9,5,1975,2149,14.52,15.8,RB,BALTEN,HenrDe00
21,Alex Smith,1942.2,SFO,1,1,2005,Utah,2010,2020,26-36,131,127,14,3,1942.2,1944.2,14.83,14.84,QB,KANSFOWAS,SmitAl03
22,Mike Evans,1909.4,TAM,1,7,2014,Texas A&M,2014,2024,21-31,168,167,11,5,1909.4,2745.4,11.37,16.34,WR,TAM,EvanMi00
23,LeSean McCoy,1891.5,PHI,2,53,2009,Pittsburgh,2010,2020,22-32,154,137,12,6,1891.5,2369.5,12.28,15.39,RB,BUFKANPHITAM,McCoLe01
24,Davante Adams,1806.3,GNB,2,53,2014,Fresno State,2014,2024,22-32,164,157,11,6,1806.3,2763.3,11.01,16.85,WR,GNBLVRNYJ,AdamDa01
25,DeAndre Hopkins,1786.8,HOU,1,27,2013,Clemson,2013,2024,21-32,178,169,12,5,1786.8,2770.8,10.04,15.57,WR,ARIHOUKANTEN,HopkDe00
26,Julio Jones,1776.6,ATL,1,6,2011,Alabama,2011,2023,22-34,166,153,13,7,1776.6,2690.6,10.7,16.21,WR,ATLPHITAMTEN,JoneJu02
27,Antonio Brown,1767.3,PIT,6,195,2010,Central Michigan,2010,2021,22-33,146,110,12,7,1767.3,2695.3,12.1,18.46,WR,NWEPITTAM,BrowAn04
